Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background,URL,Notes
,,,,,,,,,History of Egan Warming Centers,"After Thomas Egan died in 2008, the cold-weather shelters that bear his name have gone through different incarnations.<br><br><i>Swipe or click on the arrow to the right to step through their history, the story continues below.</i>",,,,,title,,,,
2008,12,16,,,,,,,Thomas Egan passes away,"Passerby finds Thomas Egan's body near West First Avenue and Blair Boulevard, a bottle of liquor by his side.<br><br>Read more <a href=""https://www.registerguard.com/news/20081218/hypothermia-caused-mans-death"" target=""_blank"">here</a>.",https://drive.google.com/file/d/1dfMMaFFG0phdMERrfXpcbZG_52lOlcUX/view?usp=sharing,,"Major Thomas Egan, who froze to death on the streets of Eugene during a snowstorm, during his deployment in Korea.",,,,,https://www.registerguard.com/news/20081218/hypothermia-caused-mans-death,http://library.guardnet.com/cgi-bin/library/lbrsearch.py?story=200812/20081218.lbr:30467
2009,1,17,,,,,,,Memorial,"Memorial service for Egan held at National Guard armory in Eugene.<br><br>Read more <a href=""https://www.registerguard.com/rg/news/local/5968357-75/story.csp"" target=""_blank"">here</a>.",https://drive.google.com/file/d/1FY4lVBhrbucTlyGq4rGcJCz--xQXfr0D/view?usp=sharing,,A flag is spread in honor of former National Guard member Thomas Egan during a memorial service at the National Guard auditorium in January 2009. (Kevin Clark/The Register-Guard),,,,,https://www.registerguard.com/rg/news/local/5968357-75/story.csp,http://library.guardnet.com/cgi-bin/library/lbrsearch.py?story=200901/20090118.lbr:26974
2009,2,,,,,,,,EGAN Shelter Coalition,"The Lane County Board of Commissioners voted unanimously to designate the county-owned National Guard armory as an emergency cold weather shelter, and organizers create ""EGAN Shelter Coalition.""<br><br>Read more <a href=""https://www.registerguard.com/rg/news/local/7972326-75/story.csp"" target=""_blank"">here</a>.",,,,,,,,https://www.registerguard.com/rg/news/local/7972326-75/story.csp,http://library.guardnet.com/cgi-bin/library/lbrsearch.py?story=200902/20090219.lbr:42070
2009,11,,,,,,,,First Egan Memorial Warming Center,"Egan Memorial Warming Center staff and volunteers gear up to provide winter-long emergency shelter when temperatures drop below 28 degrees.<br><br>Read more <a href=""http://registerguard.com/rg/news/local/22932498-75/story.csp"" target=""_blank"">here</a>.",https://drive.google.com/file/d/1yeLfefdwZpobDXXkF-GWMuZzmmV27bzo/view?usp=sharing,,"Michael Hodgin, who calls himself ""Hobo,"" sits on a cot in the warming center at First Christian Church. He was one of several homeless men who volunteered Thursday night to help set up the temporary dormitory. A room with 50 cots and blankets at the downtown church was one of two warming centers set up in Eugene. (Paul Carter/The Register-Guard)",,,,,http://registerguard.com/rg/news/local/22932498-75/story.csp,http://library.guardnet.com/cgi-bin/library/lbrsearch.py?story=200911/20091112.lbr:6940
2010,12,17,,,,,,,Second anniversary,"Memorial held near where Egan's body was found in the Whiteaker neighborhood, to commemorate the second anniversary of his death.<br><br>Read more <a href=""http://registerguard.com/rg/news/local/25679080-75/egan-eugene-tom-paul-center.html.csp"" target=""_blank"">here</a>.",https://drive.google.com/file/d/1TPeBLQ33XYgGcSq9NwXz8Ms8ZjReMQzm/view?usp=sharing,,"Kate Saunders, a friend of Thomas Egan, points to the spot where he died at a memorial event on December 17, 2010. (Paul Carter/The Register-Guard)",,,,,http://registerguard.com/rg/news/local/25679080-75/egan-eugene-tom-paul-center.html.csp,http://library.guardnet.com/cgi-bin/library/lbrsearch.py?story=201012/20101218.lbr:25173
2011,12,,,,,,,,Occupy Eugene,"Homeless encampment takes shape in Washington-Jefferson Park during Occupy Eugene protest, but several homeless people say they feel much safer staying at one of the Egan Warming Center sites.<br><br>Read more <a href=""https://www.registerguard.com/rg/news/local/27297376-75/eugene-centers-egan-occupy-thursday.html.csp"" target=""_blank"">here</a>.",,,,,,,,https://www.registerguard.com/rg/news/local/27297376-75/eugene-centers-egan-occupy-thursday.html.csp,http://library.guardnet.com/cgi-bin/library/lbrsearch.py?story=201112/20111209.lbr:17775
2013,10,,,,,,,,Growing pains,"As program continues to grow, warming center officials put out call for more volunteers.<br><br>Read more <a href=""http://registerguard.com/rg/news/local/30525561-75/training-volunteers-bales-center-mona.html.csp"" target=""_blank"">here</a>.",https://drive.google.com/file/d/1u3lZxD4Qw9hf0nXERcZEIv1RKgbP_cRs/view?usp=sharing,,"Volunteers set up cots and mats at the Ebbert Methodist Memorial Church in December 2015, one of the host sites for the Egan Warming Centers. (Kelly Lyon/The Register-Guard)",,,,,http://registerguard.com/rg/news/local/30525561-75/training-volunteers-bales-center-mona.html.csp,http://library.guardnet.com/cgi-bin/library/lbrsearch.py?story=201310/20131002.lbr:17622
2014,3,,,,,,,,Lending a helping hand,"Program officials say more than 1,100 guests served during winter of 2013-14.<br><br>Read more <a href=""https://www.registerguard.com/rg/opinion/31306668-78/program-church-season-egan-site.html.csp"" target=""_blank"">here</a>.",https://drive.google.com/file/d/1HPPXMOTbxhNj2PlGVRqKZOs9MPusjjTy/view?usp=sharing,,Troy Nipper settles in for the night at one of the Egan Warming Centers set up in the fellowship hall of Dayspring Ministries in Eugene in January 2011. (Chris Pietsch/The Register-Guard),,,,,https://www.registerguard.com/rg/opinion/31306668-78/program-church-season-egan-site.html.csp,http://library.guardnet.com/cgi-bin/library/lbrsearch.py?story=201403/20140323.lbr:103536
2015,11,,,,,,,,More volunteers needed,"Lack of volunteers forces warming center sites to stay closed on cold nights.<br><br>Read more <a href=""https://www.registerguard.com/rg/news/local/33795738-75/egan-warming-centers-lacking-volunteers-wont-open-sunday-night-despite-freezing-temperatures.html.csp"" target=""_blank"">here</a>.",https://drive.google.com/file/d/1msJ7FWwcqWs5ULFz5EqjTZVHHf-QhMx1/view?usp=sharing,,"Rob Tobias, a volunteer musician for the Egan Warming Center at Ebbert Methodist Memorial Church in Springfield gets ready to play for about 60 guests on a Wednesday night in December 2015. (Kelly Lyon/The Register-Guard)",,,,,https://www.registerguard.com/rg/news/local/33795738-75/egan-warming-centers-lacking-volunteers-wont-open-sunday-night-despite-freezing-temperatures.html.csp,http://library.guardnet.com/cgi-bin/library/lbrsearch.py?story=201511/20151130.lbr:13593
2017,2,,,,,,,,Giving and receiving,"Warming center volunteers talk about the experience.<br><br>Read more <a href=""http://registerguard.com/rg/life/lifestyles/35282147-74/warming-center-volunteers-both-give-and-receive.html.csp"" target=""_blank"">here</a>.",https://drive.google.com/file/d/1dNzPjXDR9EQbdd0s_R5_56xD53gjpQAj/view?usp=sharing,,"Volunteers Rose Nelson, left, Lori Greig Lawson and Elizabeth Lane, right, make sandwiches for guests at the Egan Warming Centers set up in the fellowship hall of Dayspring Ministries at 1580 River Road in January 2011. (Chris Pietsch/The Register-Guard)",,,,,http://registerguard.com/rg/life/lifestyles/35282147-74/warming-center-volunteers-both-give-and-receive.html.csp,http://library.guardnet.com/cgi-bin/library/lbrsearch.py?story=201702/20170219.lbr:151105
2018,11,,,,,,,,Recent changes,"After local fire officials say two warming center sites could no longer be used, organizers secure new location, inside former school district administration building in Springfield.<br><br>Read more <a href=""https://www.registerguard.com/news/20181116/egan-finds-new-home-for-warming-center-in-springfield"" target=""_blank"">here</a>.",,,,,,,,https://www.registerguard.com/news/20181116/egan-finds-new-home-for-warming-center-in-springfield,
2018,12,17,,,,,,,10 years later,"Candlelight vigil marks 10 years since Egan's death.<br><br>Read more <a href=""https://www.registerguard.com/news/20181217/candlelight-vigil-in-eugene-marks-10-years-since-thomas-egans-death"" target=""_blank"">here</a>.",https://drive.google.com/file/d/1fecw2Vc86f-tBe0EfjNgjTmjXON51Tuv/view?usp=sharing,,"Executive Director of the Eugene Mission Sheryl Balthrop, right, and her husband David Balthrop joins Egan Warming Center Director Shelley Courteville, right, at a candle light vigil in memory of Tom Eagan on the 10th anniversary of his death. (Chris Pietsch/The Register-Guard)",,,,,https://www.registerguard.com/news/20181217/candlelight-vigil-in-eugene-marks-10-years-since-thomas-egans-death,